STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20110301 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20110331 15:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20110331 16:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20110401 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20110401 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20110501 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20110501 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20110601 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20110601 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20110701 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20110701 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20110801 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20110801 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20110901 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20110901 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20111001 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20111001 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20111101 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20111101 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20111201 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20111201 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20120101 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20120101 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20120201 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20120201 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20120301 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20120301 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20120401 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20120401 01:00,999.99
